image,President,previous_office,name,term_start,term_end,state,party,Born,Died
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/George-Washington.jpg/100px-George-Washington.jpg,1,Commander-in-Chief of the Continental Army,George Washington,"April 30, 1789","March 4, 1797",Virginia,Independent,"February 22, 1732","December 14, 1799"
https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/US_Navy_031029-N-6236G-001_A_painting_of_President_John_Adams_%281735-1826%29%2C_2nd_president_of_the_United_States%2C_by_Asher_B._Durand_%281767-1845%29-crop.jpg/115px-US_Navy_031029-N-6236G-001_A_painting_of_President_John_Adams_%281735-1826%29%2C_2nd_president_of_the_United_States%2C_by_Asher_B._Durand_%281767-1845%29-crop.jpg,2,Vice President,John Adams,"March 4, 1797","March 4, 1801",Massachusetts,Federalist,"October 30, 1735","July 4, 1826"
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg/148px-Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg,3,Vice President,Thomas Jefferson,"March 4, 1801","March 4, 1809",Virginia,Democratic- Republican,"April 13, 1743","July 4, 1826"
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Madison.jpg/157px-James_Madison.jpg,4,Secretary of State,James Madison,"March 4, 1809","March 4, 1817",Virginia,Democratic- Republican,"March 16, 1751","June 28, 1836"
https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/James_Monroe_White_House_portrait_1819.gif/170px-James_Monroe_White_House_portrait_1819.gif,5,Secretary of State,James Monroe,"March 4, 1817","March 4, 1825",Virginia,Democratic- Republican,"April 28, 1758","July 4, 1831"
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/John_Quincy_Adams_daguerreotype_c1840s.jpg/250px-John_Quincy_Adams_daguerreotype_c1840s.jpg,6,Secretary of State,John Quincy Adams,"March 4, 1825","March 4, 1829",Massachusetts,Democratic- Republican,"July 11, 1767","February 23, 1848"
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Andrew_Jackson_Daguerrotype-crop.jpg/140px-Andrew_Jackson_Daguerrotype-crop.jpg,7,U.S. Senator,Andrew Jackson,"March 4, 1829","March 4, 1837",Tennessee,Democratic,"March 15, 1767","June 8, 1845"
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Martin_Van_Buren_by_Mathew_Brady_c1855-58.jpg/375px-Martin_Van_Buren_by_Mathew_Brady_c1855-58.jpg,8,Vice President,Martin Van Buren,"March 4, 1837","March 4, 1841",New York,Democratic,"December 5, 1782","June 24, 1862"
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/William_Henry_Harrison_daguerreotype_edit.jpg/142px-William_Henry_Harrison_daguerreotype_edit.jpg,9,Minister to Colombia,William Henry Harrison,"March 4, 1841","April 4, 1841",Ohio,Whig,"February 9, 1773","April 4, 1841"
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/TylerDaguerreotype.jpg/200px-TylerDaguerreotype.jpg,10,Vice President,John Tyler,"April 4, 1841","March 4, 1845",Virginia,Whig,"March 29, 1790","January 18, 1862"
